timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-12-13,153.1106,154.8900,152.8300,154.5300,154.5300,23194276,0.0000,1.0000
2019-12-12,151.6500,153.4400,151.0200,153.2400,153.2400,24645366,0.0000,1.0000
2019-12-11,151.5400,151.8700,150.3300,151.7000,151.7000,18860001,0.0000,1.0000
2019-12-10,151.2900,151.8900,150.7650,151.1300,151.1300,16481060,0.0000,1.0000
2019-12-09,151.0700,152.2100,150.9100,151.3600,151.3600,16741350,0.0000,1.0000
2019-12-06,150.9900,151.8700,150.2700,151.7500,151.7500,16410400,0.0000,1.0000
2019-12-05,150.0500,150.3200,149.4800,149.9300,149.9300,17880601,0.0000,1.0000
2019-12-04,150.1400,150.1799,149.2000,149.8500,149.8500,17580617,0.0000,1.0000
2019-12-03,147.4900,149.4300,146.6500,149.3100,149.3100,25192145,0.0000,1.0000
2019-12-02,151.8100,151.8300,148.3200,149.5500,149.5500,27473616,0.0000,1.0000
2019-11-29,152.1000,152.3000,151.2800,151.3800,151.3800,11977300,0.0000,1.0000
2019-11-27,152.3300,152.5000,151.5200,152.3200,152.3200,15201293,0.0000,1.0000
2019-11-26,151.3600,152.4200,151.3200,152.0300,152.0300,24635100,0.0000,1.0000
2019-11-25,150.0000,151.3500,149.9200,151.2300,151.2300,22428585,0.0000,1.0000
2019-11-22,150.0700,150.3000,148.8200,149.5900,149.5900,15841680,0.0000,1.0000
2019-11-21,149.4000,149.8000,148.5010,149.4800,149.4800,18576083,0.0000,1.0000
2019-11-20,150.3100,150.8400,148.4600,149.6200,149.6200,25720060,0.5100,1.0000
2019-11-19,150.8800,151.3300,150.1950,150.3900,149.8791,23960164,0.0000,1.0000
2019-11-18,150.0700,150.5500,148.9800,150.3400,149.8293,21554762,0.0000,1.0000
2019-11-15,148.9300,149.9900,148.2700,149.9700,149.4605,23508807,0.0000,1.0000
2019-11-14,147.0200,148.4100,147.0000,148.0600,147.5570,19755100,0.0000,1.0000
2019-11-13,146.7400,147.4625,146.2800,147.3100,146.8096,17444230,0.0000,1.0000
2019-11-12,146.2800,147.5700,146.0600,147.0700,146.5704,18648712,0.0000,1.0000
2019-11-11,145.3400,146.4200,144.7300,146.1100,145.6137,14370178,0.0000,1.0000
2019-11-08,143.9800,145.9900,143.7600,145.9600,145.4642,16752939,0.0000,1.0000
2019-11-07,143.8400,144.8800,143.7700,144.2600,143.7699,17786715,0.0000,1.0000
2019-11-06,144.3700,144.5200,143.2000,144.0600,143.5706,16575798,0.0000,1.0000
2019-11-05,144.9700,145.0200,143.9050,144.4600,143.9693,18250172,0.0000,1.0000
2019-11-04,144.8300,145.0000,144.1600,144.5500,144.0590,16911999,0.0000,1.0000
2019-11-01,144.2600,144.4200,142.9650,143.7200,143.2318,33128366,0.0000,1.0000
2019-10-31,144.9000,144.9300,142.9900,143.3700,142.8830,24605135,0.0000,1.0000
2019-10-30,143.5200,145.0000,142.7900,144.6100,144.1188,18496591,0.0000,1.0000
2019-10-29,144.0800,144.5000,142.6500,142.8300,142.3448,20589469,0.0000,1.0000
2019-10-28,144.4000,145.6700,143.5100,144.1900,143.7002,34912902,0.0000,1.0000
2019-10-25,139.3400,141.1400,139.2000,140.7300,140.2519,25959724,0.0000,1.0000
2019-10-24,139.3900,140.4200,138.6700,139.9400,139.4646,37278399,0.0000,1.0000
2019-10-23,136.8800,137.4500,135.6100,137.2400,136.7738,31380309,0.0000,1.0000
2019-10-22,138.9700,140.0100,136.2600,136.3700,135.9067,27935270,0.0000,1.0000
2019-10-21,138.4500,138.5000,137.0100,138.4300,137.9597,20078066,0.0000,1.0000
2019-10-18,139.7600,140.0000,136.5600,137.4100,136.9432,30650850,0.0000,1.0000
2019-10-17,140.9500,141.4200,139.0200,139.6900,139.2155,22102797,0.0000,1.0000
2019-10-16,140.7900,140.9900,139.5300,140.4100,139.9330,20841687,0.0000,1.0000
2019-10-15,140.0600,141.7900,139.8100,141.5750,141.0941,19917762,0.0000,1.0000
2019-10-14,139.6900,140.2900,139.5200,139.5500,139.0759,13591639,0.0000,1.0000
2019-10-11,140.1200,141.0300,139.5000,139.6800,139.2055,25551065,0.0000,1.0000
2019-10-10,138.4900,139.6699,138.2500,139.1000,138.6275,18396605,0.0000,1.0000
2019-10-09,137.4600,138.7000,136.9700,138.2400,137.7704,20178482,0.0000,1.0000
2019-10-08,137.0800,137.7600,135.6200,135.6700,135.2091,26783336,0.0000,1.0000
2019-10-07,137.1400,138.1800,137.0200,137.1200,136.6542,16601284,0.0000,1.0000
2019-10-04,136.7500,138.2500,136.4200,138.1200,137.6508,23839548,0.0000,1.0000
2019-10-03,134.9500,136.7500,133.2200,136.2800,135.8170,26379798,0.0000,1.0000
2019-10-02,136.2500,136.3700,133.5799,134.6500,134.1926,32001763,0.0000,1.0000
2019-10-01,139.6600,140.2500,137.0000,137.0700,136.6044,22581929,0.0000,1.0000
2019-09-30,138.0500,139.2150,137.7800,139.0300,138.5577,18430390,0.0000,1.0000
2019-09-27,140.1500,140.3600,136.6450,137.7300,137.2621,22498958,0.0000,1.0000
2019-09-26,139.4400,140.1800,138.4400,139.5400,139.0660,17813512,0.0000,1.0000
2019-09-25,137.5000,139.9580,136.0300,139.3600,138.8866,22544054,0.0000,1.0000
2019-09-24,140.3600,140.6900,136.8800,137.3800,136.9133,30016670,0.0000,1.0000
2019-09-23,139.2300,139.6300,138.4400,139.1400,138.6673,17408374,0.0000,1.0000
2019-09-20,141.0100,141.6500,138.2500,139.4400,138.9663,40040766,0.0000,1.0000
2019-09-19,140.3000,142.3700,140.0736,141.0700,140.5908,36095413,0.0000,1.0000
2019-09-18,137.3600,138.6700,136.5299,138.5200,138.0494,24473386,0.0000,1.0000
2019-09-17,136.9600,137.5200,136.4250,137.3900,136.9233,17976285,0.0000,1.0000
2019-09-16,135.8300,136.7000,135.6600,136.3300,135.8669,16731440,0.0000,1.0000
2019-09-13,137.7800,138.0600,136.5700,137.3200,136.8535,23363057,0.0000,1.0000
2019-09-12,137.8500,138.4200,136.8700,137.5200,137.0528,27009981,0.0000,1.0000
2019-09-11,135.9100,136.2700,135.0900,136.1200,135.6576,24726117,0.0000,1.0000
2019-09-10,136.8000,136.8862,134.5100,136.0800,135.6177,28903378,0.0000,1.0000
2019-09-09,139.5900,139.7500,136.4600,137.5200,137.0528,25773932,0.0000,1.0000
2019-09-06,140.0300,140.1800,138.2000,139.1000,138.6275,20824504,0.0000,1.0000
2019-09-05,139.1100,140.3837,138.7600,140.0500,139.5742,26119520,0.0000,1.0000
2019-09-04,137.3000,137.6900,136.4800,137.6300,137.1625,18015310,0.0000,1.0000
2019-09-03,136.6100,137.2000,135.7000,136.0400,135.5779,18880773,0.0000,1.0000
2019-08-30,139.1500,139.1800,136.2700,137.8600,137.3917,23946123,0.0000,1.0000
2019-08-29,137.2500,138.4400,136.9100,138.1200,137.6508,20179716,0.0000,1.0000
2019-08-28,134.8800,135.7600,133.5500,135.5600,135.0995,17343042,0.0000,1.0000
2019-08-27,136.3900,136.7200,134.6600,135.7400,135.2789,23115635,0.0000,1.0000
2019-08-26,134.9900,135.5600,133.9000,135.4500,134.9899,20325271,0.0000,1.0000
2019-08-23,137.1897,138.3500,132.8000,133.3900,132.9369,38515386,0.0000,1.0000
2019-08-22,138.6600,139.2000,136.2900,137.7800,137.3120,18709662,0.0000,1.0000
2019-08-21,138.5500,139.4935,138.0000,138.7900,138.3185,14982314,0.0000,1.0000
2019-08-20,138.2100,138.7100,137.2400,137.2600,136.7937,21188998,0.0000,1.0000
2019-08-19,137.8550,138.5500,136.8850,138.4100,137.9398,24370543,0.0000,1.0000
2019-08-16,134.8800,136.4600,134.7200,136.1300,135.6676,25026151,0.0000,1.0000
2019-08-15,134.3900,134.5800,132.2500,133.6800,133.2259,28125416,0.0000,1.0000
2019-08-14,136.3600,136.9200,133.6700,133.9800,133.5249,32527251,0.4600,1.0000
2019-08-13,136.0500,138.8000,135.0000,138.6000,137.6565,25496593,0.0000,1.0000
2019-08-12,137.0700,137.8600,135.2400,135.7900,134.8657,20484348,0.0000,1.0000
2019-08-09,138.6100,139.3800,136.4600,137.7100,136.7726,23466701,0.0000,1.0000
